Categoría,Número,Título,Plataforma,Descripción,Observaciones
3 - CUMPLIMIENTO Y SUSCRIPCIÓN   ,11,Alternativa unificada KYC + AML   ,Sumsub   ,"Puede concentrar OCR, identidad, liveness, face match, PEP, sanciones y expediente de revisión en una plataforma.   ",ALTERNATIVA   
3 - CUMPLIMIENTO Y SUSCRIPCIÓN   ,12,Preguntas de salud   ,Formulario interno   ,"Reglas aprobadas por Alianza. Las respuestas médicas no se envían a CRM, analítica, Sentry, WhatsApp ni servicios de lA.   ",INTERNO   
3 - CUMPLIMIENTO Y SUSCRIPCIÓN   ,13,Casos con salud o PEP positivo   ,Módulo interno - Jira Service Management opcional   ,"Crear case_id independiente y derivar a Alianza e Interseguros. No activar Bancard, Code100 ni SEBAOT.   + 1",INTERNO EN MVP   
"4 - PAGO, DOCUMENTOS Y FIRMA   ",14,Pago con tarjeta   ,Bancard vPOS 2.0   ,"Iframe seguro, monto y referencia únicos, código Bancard y confirmación por API. SeguroLoTengo no almacena PAN ni CVV.   + 1",YA DEFINIDO   
"4 - PAGO, DOCUMENTOS Y FIRMA   ",15,Pago por QR   ,Bancard QR   ,"QR vinculado a la propuesta, control de vencimiento, confirmación, conciliación y devolución cuando corresponda.   ",YA DEFINIDO   
"4 - PAGO, DOCUMENTOS Y FIRMA   ",16,Conciliación de pagos   ,Bancard + módulo interno   ,"Relacionar payment _id, código Bancard, propuesta, monto, fecha, estado, devolución y posterior número de póliza.   + 1",ESENCIAL   
"4 - PAGO, DOCUMENTOS Y FIRMA   ",17,Generación de Solicitud y FIPF   ,Servicio PDF interno   ,"Crear PDF cerrados con mismo correlativo, prefijos distintos, QR, hash y versión documental antes de Code100.   ",INTERNO   
"4 - PAGO, DOCUMENTOS Y FIRMA   ",18,Firma del cliente   ,Codel100   ,Firma electrónica no cualificada por OTP. Solicitud y FIPF se aceptan con el mismo OTP dentro del acto de firma acordado.   ,YA DEFINIDO   
"4 - PAGO, DOCUMENTOS Y FIRMA   ",19,Firma de Interseguros y Alianza   ,Codel100   ,Rodrigo Fernández por Interseguros y el representante de Alianza firman con firma electrónica cualificada.   ,YA DEFINIDO   
"4 - PAGO, DOCUMENTOS Y FIRMA   ",20,Custodia de documentos firmados   ,Amazon S3 Object Lock   ,"Conservar Solicitud, FIPF, hashes, constancias Code100, evidencias OTP y respuestas de integraciones sin alteración.   + 1",ESENCIAL   
"5 - EMISIÓN, ENTREGA Y RENOVACIÓN   ",21,Emisión de la póliza   ,SEBAOT   ,"Recibe expediente aprobado, código Bancard, documentos firmados y datos del asegurado; emite con el número de la propuesta.   ",YA DEFINIDO   
"5 - EMISIÓN, ENTREGA Y RENOVACIÓN   ",22,Facturación electrónica   ,SEBAOT : sistema de Alianza   ,Alianza emite la factura a nombre del asegurado. SeguroLoTengo recibe únicamente estado o referencia de emisión.   + 1,YA DEFINIDO   
"5 - EMISIÓN, ENTREGA Y RENOVACIÓN   ",23,Entrega de póliza y factura   ,SEBAOT + Infobip   ,Alianza envía ambos documentos por correo y WhatsApp. El portal informa “recibirás en breves momentos”.   ,ESENCIAL   
"5 - EMISIÓN, ENTREGA Y RENOVACIÓN   ",24,Descarga de Solicitud y FIPF   ,SeguroLoTengo + almacenamiento seguro   ,Enlaces temporales y autenticados solo para la Solicitud y el FIPF firmados; póliza y factura no son descarga inmediata.   + 1,INTERNO   
"5 - EMISIÓN, ENTREGA Y RENOVACIÓN   ",25,Renovaciones   ,Infobip + SEBAOT + Bancard   ,"Avisos 15 días antes, 3 días antes y al vencimiento; validación, pago y  emisión. Ventana provisional solo con cláusula registrada.   + 1",SEGUNDA FASE   
"6 - OPERACIÓN, ANALÍTICA Y CONTROL   ",26,Atención al cliente   ,HubSpot Service Hub : alternativa Zendesk   ,"Consultas, reclamos y seguimiento con datos mínimos. Excluir salud, imágenes de cédula y expedientes PEP.   + 1",SEGUNDA FASE   
"6 - OPERACIÓN, ANALÍTICA Y CONTROL   ",27,Errores técnicos   ,Sentry   ,"Detectar caídas y fallas de callbacks de Bancard, Codel100, Infobip o SEBAOT; borrar Pll y excluir pantallas médicas.   ",ESENCIAL   
"6 - OPERACIÓN, ANALÍTICA Y CONTROL   ",28,Embudo y abandono   ,PostHog   ,"Medir avance y abandono. No capturar cédula, salud, OTP ni pagos; desactivar replay en pantallas sensibles.   ",DESPUÉS DEL PILOTO   
"6 - OPERACIÓN, ANALÍTICA Y CONTROL   ",29,Auditoría técnica   ,AWS CloudTrail   ,"Registrar accesos y cambios de infraestructura, documentos y configuraciones; validar integridad de logs.   ",ESENCIAL   
"6 - OPERACIÓN, ANALÍTICA Y CONTROL   ",30,Automatizaciones administrativas   ,n8n   ,"Alertas, casos pendientes y reportes. No usarlo para controlar la secuencia crítica pago-firma-emisión.   ",OPCIONAL   "2 - PRODUCTO, CONSENTIMIENTO E IDENTIDAD   ",31,Prueba de vida y coincidencia facial del demo y el piloto   ,AWS Rekognition Face Liveness + CompareFaces   ,"Reemplaza a Entrust en los items 8 y 9 para demo/piloto. Umbrales: liveness 80, coincidencia facial 99 (caso sensible, con recorte previo). Solo en us-east-1, us-west-2, eu-west-1, ap-northeast-1, ap-south-1: no hay region sudamericana, hay transferencia internacional de datos biometricos que declarar.   ",EN USO - DEMO Y PILOTO   
"2 - PRODUCTO, CONSENTIMIENTO E IDENTIDAD   ",32,OCR de la cedula del demo y el piloto   ,AWS Textract DetectDocumentText + parseo MRZ propio   ,"Reemplaza el OCR del item 7 para demo/piloto. AnalyzeID NO sirve: esta entrenado sobre documentos de EE.UU. Se usa DetectDocumentText generico con confianza minima 90 y cruce contra el MRZ TD1 del dorso (ICAO Doc 9303). No cubre autenticidad documental.   ",EN USO - DEMO Y PILOTO   
"2 - PRODUCTO, CONSENTIMIENTO E IDENTIDAD   ",33,Validacion contra el registro civil paraguayo   ,Didit (servicio pry_cedula) - alternativa a convenio directo con Identificaciones   ,"Cruza nombre y numero de cedula contra el Departamento de Identificaciones. USD 0,20 por consulta concluyente. Es la unica opcion evaluada que cierra la brecha de autenticidad sin convenio propio; el item 9 la preveia como fuente oficial autorizada. El piloto de tres formatos la volvio necesaria y no opcional: es lo unico que le da salida a la cedula del formato anterior, que no tiene MRZ. Puerto RegistroCivilProvider y adaptador mock implementados; falta el contrato de API del proveedor para el adaptador oficial.   ",EN USO - MOCK; PUERTO IMPLEMENTADO   
